Time,Amount,Class,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28
100218,16.72,0,0.0597,0.5946,0.1436,-0.1783,0.1202,0.9195,-0.4376,0.0154,0.335,0.1269,-0.1239,-0.2132,-0.1426,0.266,0.2369,1.0474,-0.7684,0.879,-0.1022,-0.0453,0.4294,0.4262,0.5783,0.6874,-0.0199,0.6938,-0.3146,-0.1526
16798,352.29,0,0.2059,-0.5071,-0.1214,0.5,0.2589,-0.3334,0.5114,0.1514,0.1344,-0.2575,-0.0033,-0.387,-0.9703,-0.1399,-0.0611,0.0686,0.6061,-0.3261,-0.1839,0.3831,-0.3763,0.0769,-0.2041,-0.1218,0.3791,-0.1867,0.3954,-0.9762
150017,427.68,0,-0.9704,-0.4541,0.6237,-0.2225,-0.1556,0.2392,-0.0758,0.619,-0.1198,-0.1116,1.1321,0.0276,0.1153,-0.1052,-1.2141,0.4364,0.8303,0.6279,-0.279,-0.0866,0.1746,0.157,0.3405,0.1015,-0.1807,0.0685,0.4994,1.4581
39030,108.54,0,-0.2993,-0.1114,0.8081,-0.5091,-1.1561,-0.2994,-0.1641,-0.245,0.1344,-0.514,-0.5876,-0.3372,-0.3269,1.0604,0.7762,-0.8348,-0.9649,-0.0429,0.9558,0.333,-0.0164,-0.228,0.5386,0.089,0.8659,-0.8439,0.2118,-0.2816
94269,1096.33,0,-0.2265,0.6527,0.6791,-0.7915,0.4713,-0.5355,1.2069,0.7585,-0.569,0.1195,0.4965,-0.3118,-0.6832,0.0509,-0.0797,-0.4571,0.618,-0.6445,-0.0539,0.0909,0.1545,0.5653,-0.12,-1.3017,-0.1934,0.3628,-0.0721,-0.0684
122180,1879.62,1,-4.9752,-0.1372,-3.3239,5.2264,-4.3856,-3.8703,2.5193,1.2558,-1.9615,1.7723,-2.2422,-3.3329,2.7465,2.5869,2.7526,4.4863,-1.4943,2.3334,-4.3108,3.3813,-3.322,1.6148,2.8928,-2.16,-0.3424,1.1804,5.3942,1.4972
170811,1642.16,0,0.7665,0.4056,-0.3915,0.1628,-0.3503,-0.1976,0.2396,0.3328,-0.2937,-0.5524,0.0439,0.2173,-0.3191,0.4083,0.3196,-0.3264,0.5651,0.5804,1.0338,0.8559,-0.4513,0.4625,0.4398,-0.1742,0.2275,-0.9388,-0.9527,-0.8573
166287,1330.44,0,-0.4353,-0.1665,0.0385,-0.3099,-0.1854,-0.0619,-0.499,-0.1344,0.578,-0.298,-0.4505,1.0426,0.1128,-0.3864,0.3218,0.1281,-0.2851,-0.0245,-0.1457,0.495,0.3407,-1.0715,0.9515,-0.1442,0.8612,0.358,0.1241,-0.0471
49979,958.97,1,-3.3462,2.9141,-1.2706,-6.2895,5.4878,-6.1398,7.1197,-4.6859,2.2477,-0.3788,5.3938,-3.5393,2.5967,7.625,4.9189,-4.3367,1.7795,3.5196,-0.2162,-1.546,2.2795,-0.2607,0.1882,6.3727,-6.8987,1.8301,-2.787,3.7314
56097,1095.36,0,0.3678,0.463,0.5886,0.9171,-0.8857,-0.6149,-0.4019,-0.2349,-0.1503,-0.2235,0.1097,0.0176,-0.3614,-1.0878,-0.4964,-0.2746,-0.1235,-0.5648,-0.2454,-0.5655,-0.0629,-0.5365,-0.4245,-0.6543,-0.0768,-0.4332,0.4534,0.2029
