Time,Amount,Class,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28
93596,1.61,1,2.9856,4.2301,-4.4621,-2.5161,-6.4094,2.1549,5.4894,-6.8323,3.9743,-1.685,3.8828,-4.7299,-2.0164,0.4041,-3.3636,-2.6533,2.3681,5.2063,3.225,-1.0337,-1.5078,-6.2501,0.1885,1.1375,-4.3059,5.4268,1.791,-3.0976
86870,319.97,1,4.9288,-2.2749,-4.9547,4.6726,-3.6032,3.1623,-7.0304,-4.3108,4.2283,1.2616,-2.6921,-1.9619,4.2696,1.4779,-3.7261,4.189,-3.9804,-5.1299,0.6745,5.9438,-4.3066,3.1205,-2.4822,4.055,-3.7978,1.5901,4.5885,-0.0664
125700,2065.26,1,0.8588,-4.7795,-2.8256,-1.5838,1.3115,0.7371,3.5026,2.9969,-3.8772,5.3326,4.1369,-1.8008,-5.3758,2.294,-2.8989,3.341,1.9298,2.3997,-8.0514,-2.8721,-1.9845,-2.892,-8.7765,-2.4135,4.0802,0.435,-4.3773,2.8747
95473,2226.7,1,2.405,5.624,0.4599,-2.4261,-4.6308,0.8675,6.8407,-5.4458,-2.8575,-5.587,-0.5208,-3.7925,5.1368,4.2082,1.6073,0.0411,1.0532,5.0143,-2.3277,-3.455,1.0996,-2.9986,1.4403,-0.836,-2.9319,3.2227,-1.6143,4.4693
127858,1751.04,1,2.429,5.1306,4.708,0.5772,2.714,-6.8691,0.3399,-3.0506,1.0802,5.2099,0.3629,4.4408,4.821,-3.0595,-0.2711,5.3441,2.5679,2.9376,-3.0232,-2.6188,4.2123,-0.8885,2.5651,-3.9505,-7.6361,-3.536,4.2702,-5.1604
57295,1440.02,1,2.2645,1.9046,-0.0681,3.7261,1.7463,0.316,-6.09,-4.6855,-2.2159,2.7509,-4.7065,-3.0286,0.1187,3.5386,6.6273,3.8092,3.1801,3.1655,-4.0109,0.2864,-6.1633,3.158,2.3653,3.9169,5.653,-4.9088,-5.0387,-1.3361
125725,1873.99,1,5.2527,4.5681,-5.1425,-2.9883,1.645,-1.6565,2.1676,-5.3616,6.5843,-2.8378,-3.4884,-2.7784,2.3873,-2.8688,3.9102,1.3651,4.1065,2.0125,-2.2777,-4.1582,-1.4538,-1.2356,-3.1266,1.5417,3.6076,0.2466,-1.564,6.3511
49178,677.72,1,-5.1793,-4.5695,-2.9688,-1.1954,-4.8155,6.0386,1.6843,4.7091,-2.6563,-1.8935,-1.8055,-4.8967,4.6963,0.535,1.6065,-1.8359,0.9829,-6.9253,-2.3007,-6.1296,4.3583,2.3959,-2.3299,-2.3677,4.5136,4.2249,0.9666,-3.4882
142965,1741.87,1,3.9746,5.1439,-3.2503,-1.3062,-1.9182,-1.2477,-5.1169,-1.9961,3.5241,-6.8991,2.2983,-7.4367,5.5108,-1.1083,-2.2993,-4.6886,-0.5623,-7.4609,1.8938,-1.6083,2.3188,4.0003,-1.8962,-1.6395,-0.8735,1.4773,-2.0385,-0.0066
64061,2296.74,1,4.6784,0.6307,-6.2269,4.862,2.331,-2.5876,-0.5536,4.3885,-1.4202,-3.7829,-5.6811,5.3289,-1.0391,5.1428,-1.3025,0.5366,3.9022,0.902,4.2448,3.1168,3.1792,-5.3628,-0.9551,-1.3714,5.6375,-2.8263,0.6266,0.0615
123776,17.69,1,-4.8978,0.4947,5.2712,-5.2126,-4.058,-5.1131,3.705,1.8593,-6.8245,2.8627,-1.1773,-2.7885,4.087,3.3996,4.465,-2.4226,-3.2454,3.1867,0.0328,-1.7958,1.0962,-2.845,3.6684,2.6895,-0.8156,-4.7208,-3.8272,0.7754
162826,1808.69,1,-4.0352,3.4476,2.0539,1.9383,-1.6362,0.6934,4.1813,5.2174,4.641,4.0145,5.7643,-1.7026,2.6658,-2.7066,3.7373,2.2133,3.3822,3.0929,-1.709,7.3265,-2.5012,6.1549,-1.7842,-2.6268,2.1071,-2.6118,3.2659,-4.4002
96716,14.26,1,-3.6184,1.4957,-0.7503,3.2301,-2.5736,-4.5039,-0.848,-2.9574,1.5832,-6.0274,-2.4657,4.0175,-3.9661,-2.7064,0.2244,-1.2063,-7.3036,-4.4383,-3.2625,-2.8463,-2.6627,3.8839,-3.1972,3.0377,4.9063,3.5742,-5.2875,-2.7829
171595,409.56,1,-1.913,5.0698,-3.5404,4.8952,-4.3528,-7.4607,-0.1605,3.0321,-1.2152,3.1912,-2.6696,-1.8621,-1.9812,5.4947,2.0252,-2.1924,0.0195,3.8041,-0.4261,-3.8893,-1.0723,4.9471,-0.2644,-2.4381,-2.6588,-1.3289,-2.6389,8.2871
85886,1436.3,1,-1.711,3.6117,-2.7183,-2.6206,-5.3686,3.3947,-2.7342,-1.329,-0.0115,3.8727,-4.0666,-2.5486,2.6484,-2.1835,-0.0716,5.1815,1.5592,1.4754,3.1525,2.6404,-2.1811,-2.6626,-1.175,2.7174,-2.5841,6.2846,-4.4112,1.1158
146602,1043.82,1,-3.6854,1.3954,0.7724,-2.6508,-0.8375,-3.053,-2.8795,1.9265,-3.3847,-2.3969,-0.7144,-1.4961,5.8056,0.1963,1.0189,-4.1326,-0.1013,3.1371,-4.8388,6.0999,-4.5665,2.3559,4.627,0.5383,-0.215,-2.6307,3.5198,-1.4364
144837,1833.85,1,-1.657,4.3228,3.8489,2.6638,-2.1902,-3.0847,3.0877,-2.2427,3.1925,-5.8878,6.4113,3.2385,1.3652,3.8713,0.5314,-4.2558,1.0916,4.5421,-6.3101,7.2731,-0.2956,-2.6611,-3.2678,0.986,-1.8045,-0.4001,-5.7649,6.0816
69025,670.36,1,5.7864,-1.3213,2.8412,2.3991,-4.0753,4.3108,-4.7927,-2.5614,4.5837,1.8587,-1.2951,0.5416,5.9042,-2.9717,1.8072,-3.5984,1.5013,-3.4431,0.6461,0.6411,1.8672,-1.3368,-2.5811,1.0309,-3.3765,5.3862,2.0807,0.8403
10717,1276.65,1,2.17,-8.0594,-4.7941,-4.3461,-1.8562,1.5024,2.9268,3.712,2.866,-4.1427,6.0922,-1.3777,-3.2609,2.2094,-2.3685,-2.3887,3.2079,-4.1581,-1.331,3.6093,1.398,6.0128,-5.1985,-3.7036,5.938,2.2841,1.4137,-0.8784
63072,2324.08,1,1.8332,-5.6018,-1.6123,2.7943,3.1998,-2.7081,-3.9286,-3.6922,2.362,-3.0366,-1.2273,1.6147,-0.6796,-3.4786,-0.8939,1.0666,-3.3376,-2.7781,0.8738,3.2762,-2.0253,4.1108,-4.6755,-1.7784,-4.2147,0.2586,3.7489,-2.9297
133364,1831.14,1,2.438,-2.1501,-2.7885,-0.0544,-3.2922,-4.1859,-2.7749,3.8901,-0.3166,-1.6613,3.0009,-5.5943,4.0978,1.4384,2.3285,-4.5789,2.0543,0.4311,-8.3696,-2.4809,2.9086,1.47,0.8072,-1.3235,5.489,3.264,-1.1716,2.6263
74077,1785.29,1,-0.0694,2.5921,2.4027,-4.4316,4.0276,2.4113,2.4864,5.0486,-2.9489,0.1783,-1.0744,3.3451,5.4996,3.8406,2.4484,-5.1151,-0.2737,4.5398,-2.3394,4.74,0.0027,5.2783,-0.6296,-4.3401,2.2899,3.5149,0.3314,-3.2429
85986,565.47,1,-0.6132,-2.609,-1.6548,5.4045,1.4986,-3.0895,-2.9188,-1.487,0.38,-0.8212,0.7927,3.2713,-0.9786,-1.5019,6.4546,3.4417,1.9701,4.7422,3.4063,-2.0064,-0.1317,-2.5008,5.1334,-4.043,-4.956,-3.0035,2.7273,5.1208
167661,981.54,1,-6.1678,4.5208,1.066,-3.0954,2.9928,0.6833,2.5581,-2.9462,2.5056,-4.364,-5.0032,2.4378,1.8576,-1.8548,-0.2013,-1.1507,3.1193,1.7061,4.7904,-1.7297,5.6348,-2.6048,6.4719,-2.6042,-4.3028,2.0322,-1.9543,1.8526
107469,948.52,0,0.0244,-1.112,-0.0886,-0.0012,-1.2078,0.0121,-0.5067,-0.9178,0.8023,-0.5288,-0.3336,-0.3403,0.0011,0.8832,-0.5981,-0.1534,0.0604,-0.4344,-0.1614,0.2972,-0.3779,-0.1693,-0.2157,-0.0519,0.1216,0.2933,0.9688,-1.3292
143639,699.45,1,-1.3663,-1.8105,3.2831,-1.8461,2.2967,-2.4091,-0.0298,1.3979,2.1763,4.6227,-2.7234,-4.0084,-5.3676,-0.4866,-6.0587,-2.2719,5.3861,-3.2981,-3.8331,5.2396,-3.884,-0.3583,-2.2406,6.5012,-3.4502,1.3153,5.5804,-5.5807
16470,245.47,1,-2.6494,0.3265,-3.9091,-3.4373,-2.8955,-5.1212,-1.0444,-7.2113,-0.6928,-0.2273,-3.7226,-3.1284,0.0604,-1.6701,-3.654,-3.4269,4.023,0.8703,2.6337,-3.7133,3.0904,-2.8976,-2.3541,-3.122,5.4416,-4.7535,3.8695,3.9509
93021,2037.08,1,-2.2112,2.6571,-3.0586,-4.5357,-4.9851,4.8681,3.009,-3.4853,2.5512,-0.9578,-4.7747,-0.2802,-2.5532,-3.7402,1.8861,1.6799,1.601,-1.5829,0.8035,2.6622,3.3218,1.1548,-5.6193,-0.9299,-2.739,-0.417,0.5454,-2.225
112171,1921.57,1,-5.1003,4.515,3.5675,1.0243,-4.6937,-0.5008,2.1642,-7.0516,-5.1417,6.8228,-0.9851,0.4902,-2.6306,4.8758,-0.3372,5.1175,-2.1174,-4.4663,4.2065,3.5963,3.7352,-2.7038,-4.7621,1.5756,2.5238,3.092,-1.6692,0.8824
50522,1123.45,1,-3.8996,-2.6933,2.1846,-6.667,-5.9887,4.8262,1.9367,-3.1414,4.6159,-4.2349,-0.7928,-3.0152,-2.617,-4.7871,0.5742,4.7391,-2.2392,1.8354,-5.5769,-1.8822,2.3917,1.0325,3.9255,-3.0919,2.5544,-2.5154,-2.0628,5.6331
68243,455.11,1,-3.1254,4.9103,-4.0605,-4.5857,-3.2141,-5.0705,0.9295,-2.9295,1.6005,3.428,2.7753,2.5581,1.939,-4.1516,-6.0304,-0.2663,4.1531,3.6225,2.7442,1.0889,-4.5127,-5.8445,-4.2931,-5.1631,6.3743,4.7633,-2.8453,1.2774
66958,1296.06,1,4.7449,5.1324,-1.1898,1.7922,3.0479,4.7438,5.6618,4.9764,0.6949,-6.0015,2.9207,1.9307,-3.8291,-2.8396,1.2138,2.3304,4.0992,-5.5417,1.7781,6.6868,3.0303,-2.1159,2.111,-6.3383,-4.5436,0.3226,-2.3645,-0.2245
158036,979.86,1,7.8448,-1.2845,-4.7328,-1.7088,-1.01,-3.3251,-0.786,1.1855,-1.8178,5.7937,1.2921,-4.8471,-1.5893,1.4977,-5.58,-0.5989,-2.7335,-6.4984,-1.4813,2.4124,3.344,0.8814,0.5885,-3.362,-3.5489,-2.5592,2.5902,-3.1358
124994,404.6,1,-5.6224,5.3969,-3.3512,-4.5192,-2.0355,-3.8398,5.2625,2.4505,3.0572,6.1605,2.1811,-2.8468,5.6339,3.8786,1.2236,-5.7261,-3.9791,4.2451,0.3199,-0.4487,1.5926,-3.2841,0.2201,-0.2916,3.5364,-4.4272,0.4335,0.0752
101751,2180.37,1,6.5643,4.1805,3.5005,0.7205,-2.6322,3.2002,2.0774,-1.9521,-0.858,-4.1656,-1.2955,-1.6415,-0.4597,-4.6369,-5.2508,-3.2981,-1.3911,-3.3144,0.9656,4.0333,-4.5982,2.6709,1.6449,3.2986,-3.2297,-2.6899,2.1399,-5.2142
149335,928.24,1,2.3904,4.4778,7.9588,7.5344,5.6987,0.3229,-4.5348,1.2472,-4.9995,1.433,4.4025,3.3632,4.7291,6.0378,3.7195,-2.6626,7.0472,2.4358,-5.4362,4.307,-3.8658,3.6289,-4.5548,-1.6134,-2.7376,-2.8271,4.7621,0.112
115426,1586.03,1,2.993,-4.94,1.0075,2.8769,3.4398,-5.6522,4.8676,2.3493,4.2963,-1.4883,-2.7234,-3.6798,5.0042,4.0344,3.5968,-4.2698,4.0066,4.6261,-4.7182,5.3907,-1.7659,-2.2652,-3.538,0.1303,-4.5263,-2.7285,-3.5219,-5.5756
63693,614.92,0,-0.1243,0.3133,0.0228,0.3117,0.3517,1.0775,-0.1576,-0.4705,0.123,-0.4011,0.741,-0.1416,-0.2828,-0.2357,0.3592,-0.0789,-0.3208,0.8327,-0.4281,0.0178,0.3262,-0.8157,0.2401,-0.5276,0.4114,-0.4813,0.3464,0.5529
115432,409.63,1,-2.5789,-1.975,-1.5076,-3.7204,0.5174,4.2111,0.4129,-2.5317,-4.6569,4.8187,3.645,-4.3647,0.6078,-3.0795,-1.3931,4.7043,-0.9961,-2.5899,-0.3464,3.4941,1.289,1.7583,5.1998,1.2838,1.0258,5.9735,3.4619,3.4728
30581,1475.78,1,-5.6387,2.5475,4.6334,4.2373,2.0925,-1.7341,-1.363,-2.7323,3.8933,2.5735,5.2581,2.8392,-5.8103,-1.9979,-5.085,5.5559,-2.1749,-0.8594,-1.2645,3.5661,-1.5732,3.094,5.4463,-4.3669,-1.1603,3.6277,-0.3636,-0.5172
119934,2447.59,1,-1.2174,3.0085,3.7626,-2.3767,-2.2232,2.8104,-3.1208,-0.7444,4.9803,-3.4343,1.7003,3.1683,2.4627,-0.6727,-3.5948,-3.4928,-0.0856,-3.3213,-3.3508,3.983,0.6268,2.3142,-2.4433,-4.0184,-3.9575,-2.281,2.1667,2.8738
16447,1376.88,1,-1.6569,6.0561,3.1202,-2.2234,2.3011,1.4549,1.8061,-1.7806,-1.9247,-2.1436,-1.9694,1.3314,1.8387,-4.2228,-0.7663,3.3728,-2.9014,-1.4623,-4.2165,-2.2738,7.0306,-0.4187,-2.3049,3.1734,4.0125,-0.1054,5.7251,0.2812
37856,672.06,1,0.3036,-1.5135,3.0369,-2.3048,-2.6083,-4.9567,5.0583,-2.0548,-2.4879,4.9654,-0.6817,0.4408,-1.9647,-4.4515,1.777,-5.8133,-4.9517,5.1073,-2.0134,3.3697,-4.1513,-2.756,5.2985,-4.4064,-3.07,6.5416,-1.5845,1.8751
147799,267.01,1,-2.5652,2.3468,3.5611,5.0322,-4.4573,1.297,1.0728,0.6903,-1.2527,2.9392,1.4592,0.5397,1.1191,-2.9308,5.7401,-6.2658,3.2483,-1.5804,1.9975,5.8532,3.5006,-1.3818,-1.4726,-0.7453,-3.3265,0.2396,2.814,-3.4918
24693,968.49,1,6.9857,-4.5586,3.3451,4.0217,1.8892,1.9154,-4.6667,-3.7232,-4.6808,-1.6471,4.9917,3.51,-2.6303,-0.2185,2.5914,-1.3922,-3.4434,0.7013,-0.595,-2.3657,-0.8097,3.867,-1.8808,-4.6271,2.2671,4.0635,5.7583,2.8332
49148,1107.35,1,3.7969,-2.1255,-6.0246,-4.7987,6.4089,0.5434,-4.2558,-2.7837,0.8694,-5.1486,1.2739,-6.2459,-3.2651,-3.7451,-0.106,5.6568,7.1216,-1.8575,0.7747,-3.0654,-4.7649,0.1529,0.5926,-1.406,-1.7277,-6.2471,3.5815,2.2786
13631,637.05,1,7.3146,1.7886,5.6035,0.123,3.9199,1.6446,2.2694,-2.6306,-5.6943,-4.9432,0.9062,-1.9267,-0.6286,-1.5621,-1.0079,1.4864,-3.6454,2.4983,3.9118,1.33,1.713,4.8557,6.0569,4.0157,2.2701,1.3216,-5.0896,-6.9327
70186,855.5,1,1.481,1.5576,-8.8089,4.1828,5.114,3.3976,1.4857,-3.4754,-3.762,4.0925,1.4993,0.5075,-0.7751,1.8072,4.8792,-4.8001,-6.1469,-5.4422,-5.0132,-4.1727,0.3581,-1.2474,4.5581,0.7791,3.5244,-4.2199,1.3514,4.3665
