Time,Amount,Class,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28
125064,997.9,0,-0.5943,0.9944,-0.011,-0.3908,0.062,0.9484,-0.1948,0.3435,0.5932,-0.9457,-0.3192,0.5305,-0.3497,0.2073,-0.3792,-0.2228,-0.2837,0.3183,0.1008,0.0494,1.2537,0.8698,-0.9906,-0.2217,1.2132,-0.2873,1.0439,-0.2132
48038,2381.69,0,0.6455,-0.2561,-0.3612,0.1038,0.2641,0.4832,-0.0755,-0.4249,1.2643,-0.5433,0.0276,0.3899,0.5756,-0.2836,-0.9375,-0.2951,0.4307,0.3187,0.3351,0.3558,0.67,-0.3879,-0.5989,0.1852,-0.5243,-0.6305,0.612,0.1252
32185,1645.88,0,1.2206,0.2186,0.046,0.2381,1.265,-0.4968,-0.5602,-0.3774,0.0161,-0.8629,0.0112,0.8468,0.0757,-0.1463,-0.3091,0.4493,-0.4129,0.9232,0.9667,0.1284,-0.0058,0.5153,0.5474,-0.403,-0.2633,-0.6612,0.2045,0.3333
112406,223.51,0,-0.6249,-0.1326,0.0169,0.1343,-0.5574,0.5985,-0.2984,-0.8372,-0.0545,0.0172,0.0803,0.6811,-0.1182,-0.0598,-0.5516,0.4103,0.0922,-0.21,-0.9523,0.7222,-0.6138,-0.2956,0.1792,-0.5983,-0.7468,-1.062,0.3605,-0.2726
30607,1715.38,1,4.6127,-4.201,4.4123,5.3815,3.065,-1.3888,3.4934,-4.9906,4.2901,-3.0248,-1.502,0.0987,-3.6503,-4.8742,-4.3006,-1.7793,-1.823,4.3337,2.3259,3.2758,3.0812,-0.1348,2.1107,-4.1162,2.1502,5.116,4.5961,0.6467
169437,1862.0,1,-3.3447,-5.7201,-0.3114,5.5865,-3.3464,2.3467,1.8891,3.0437,3.0856,-2.0116,2.0516,-2.6216,-7.9431,-0.3516,-2.972,0.4759,4.017,2.6226,-2.535,4.803,-3.5144,-0.2268,1.2524,4.9254,0.016,1.9591,2.9706,-6.603
29797,638.33,0,0.0731,0.5649,-0.9457,0.419,-0.3806,0.0549,-0.3902,0.4796,-0.1442,0.4229,0.2177,-0.3969,0.2509,-0.3318,0.0321,-0.1533,0.45,0.2702,-0.0154,-0.3429,-0.6345,0.0678,-0.3161,-0.939,-0.665,0.8129,-0.33,0.5411
97493,326.29,0,-0.3531,-0.1758,-0.138,-0.1695,-0.3357,0.0675,-0.1572,-0.7978,0.0172,-0.0584,-0.7898,-0.2957,0.2985,-0.5682,-0.6211,-0.1624,0.3115,0.9052,0.3295,0.5424,0.1733,-0.3426,0.3259,-0.0428,0.1885,-0.473,0.2332,-0.0603
104182,2070.23,0,0.272,-1.2791,0.0227,-0.0607,-0.6108,-1.0687,-0.0543,0.5321,-1.2909,-0.4163,0.0658,0.5625,-0.1562,0.9655,-0.8977,-1.0085,0.5089,-1.1748,0.2308,-0.1473,-0.4505,-0.2133,-0.6445,-0.1592,0.0087,-0.2081,-0.2925,0.1271
21805,1718.59,0,-0.6668,-0.1575,0.7463,0.3299,0.2235,0.4955,0.9023,0.0093,-0.2036,0.4943,-0.0937,-0.464,-0.27,0.1562,-0.2248,-0.1875,-0.5137,0.7177,-0.1713,-0.3558,-0.3026,0.4013,0.2866,-0.2509,0.0162,0.1384,-0.352,-0.7703
11212,756.95,0,-0.4769,0.2266,-0.3809,0.1927,-0.7674,-0.2266,-0.4231,0.4416,0.2311,-0.6163,-0.1016,-0.3862,0.4751,0.6358,-0.7208,0.4134,-0.4116,-0.1265,0.0161,0.9083,-0.5019,0.4174,-0.5858,-0.6203,0.0142,0.0109,-1.4162,0.5798
109143,1414.11,0,-0.6577,0.6547,-0.1384,-0.3359,-0.6271,-0.2775,-0.7012,1.0455,-0.0112,-0.029,0.294,0.4812,0.4729,0.5368,-0.3154,-0.1489,0.3845,-0.2637,-0.0026,0.1994,0.3926,-0.8888,0.3574,-0.1169,0.3537,0.3885,0.804,0.6767
84489,1908.39,0,-0.774,0.2803,0.4443,0.8035,-0.1004,-0.1734,-0.1196,0.3354,-0.141,-0.0261,0.4155,-0.3129,0.6956,0.3165,-0.9288,-0.2577,-1.0122,-0.0983,-0.2492,0.4174,-0.4405,0.1939,0.2844,0.1286,0.5701,1.0341,0.056,0.2026
80726,2260.0,0,0.857,0.1001,-0.0248,0.5488,-0.4676,-0.222,-0.84,-0.6272,0.9617,0.3462,-0.6854,0.5974,-0.3518,0.3205,0.313,0.8325,-0.2689,-0.3701,-1.3445,-0.0609,0.3627,0.431,0.6262,0.1449,0.2524,0.0341,0.3537,-0.4671
168471,1837.69,0,-0.0667,-0.0537,0.898,0.2003,0.2719,0.2663,0.3143,-0.6947,1.0246,-0.4387,-0.0192,0.7657,0.9673,0.403,-0.2523,0.0639,0.0835,0.1012,-0.615,0.6301,0.0673,-0.3611,-0.2492,0.1349,-0.7015,0.4392,0.1174,0.7828
83927,919.78,0,0.0272,-0.0905,-0.1608,0.9371,-0.5649,0.0187,-0.5313,-0.2705,0.8681,0.1407,0.1347,-0.4697,-0.2123,0.9116,0.2497,-0.1699,0.2203,0.1338,-0.4197,-0.1844,1.1273,0.196,-0.7845,0.2551,0.6515,-0.4522,-0.2284,0.7269
